track_name,track_artist,valence,energy,track_album_name,track_href,track_album_release_date,track_popularity
Creep,Radiohead,0.104,0.43,Pablo Honey,https://api.spotify.com/v1/tracks/70LcF31zb1H0PyJoS1Sx1r,1993-02-22,86
Come As You Are,Nirvana,0.539,0.824,Nevermind (Remastered),https://api.spotify.com/v1/tracks/4P5KoWXOxwuobLmHXLMobV,1991-09-26,76
Californication,Red Hot Chili Peppers,0.328,0.767,Californication (Deluxe Edition),https://api.spotify.com/v1/tracks/48UPSzbZjgc449aqz8bxox,1999-06-08,81
Sweet Child O' Mine,Guns N' Roses,0.624,0.952,Appetite For Destruction,https://api.spotify.com/v1/tracks/7snQQk1zcKl8gZ92AnueZW,1987-07-21,84
"Paint It, Black",The Rolling Stones,0.612,0.795,Aftermath,https://api.spotify.com/v1/tracks/63T7DJ1AFDD6Bn8VzG6JE8,1966-04-15,81
Dreams - 2004 Remaster,Fleetwood Mac,0.789,0.492,Rumours (Super Deluxe),https://api.spotify.com/v1/tracks/0ofHAoxe9vBkTCp2UQIavz,1977-02-04,84
Everlong,Foo Fighters,0.364,0.881,The Colour And The Shape,https://api.spotify.com/v1/tracks/5UWwZ5lm5PKu6eKsHAGxOk,1997-05-20,81
I Love Rock 'N Roll,Joan Jett & the Blackhearts,0.901,0.716,I Love Rock 'N' Roll (Expanded Edition),https://api.spotify.com/v1/tracks/2Cdvbe2G4hZsnhNMKyGrie,1981-11-18,77
Dust in the Wind,Kansas,0.387,0.322,Point Of Know Return (Expanded Edition),https://api.spotify.com/v1/tracks/6zeE5tKyr8Nu882DQhhSQI,1977,79
"Another Brick in the Wall, Pt. 2",Pink Floyd,0.721,0.394,The Wall,https://api.spotify.com/v1/tracks/4gMgiXfqyzZLMhsksGmbQV,1979-11-30,74
Runaway,Bon Jovi,0.603,0.899,Bon Jovi,https://api.spotify.com/v1/tracks/0X1sqQ652p1sceKM2nJlIJ,1984-01-23,72
